Date,Location,Description
2025-01-01,BRA,Ano Novo
2025-02-03,BRA,Carnaval
2025-02-04,BRA,Carnaval
2025-02-05,BRA,Quarta-feira de Cinzas
2025-04-18,BRA,Paixão de Cristo
2025-04-21,BRA,Tiradentes
2025-05-01,BRA,Dia do Trabalho
2025-06-19,BRA,Corpus Christi
2025-09-07,BRA,Independência do Brasil
2025-10-12,BRA,Nossa Senhora Aparecida
2025-11-02,BRA,Finados
2025-11-15,BRA,Proclamação da República
2025-11-20,BRA,Dia da Consciência Negra
2025-12-25,BRA,Natal
2025-01-01,USA,New Year's Day
2025-01-20,USA,Martin Luther King Jr. Day
2025-02-17,USA,Presidents' Day
2025-05-26,USA,Memorial Day
2025-06-19,USA,Juneteenth National Independence Day
2025-07-04,USA,Independence Day
2025-09-01,USA,Labor Day
2025-10-13,USA,Columbus Day
2025-11-11,USA,Veterans Day
2025-11-27,USA,Thanksgiving Day
2025-12-25,USA,Christmas Day
